solution.name,solution.number,nozzle,orifice.size,pressure,rep,dv10,dv50,dv90,rs,fines (<200),density,viscosity,ph,conductivity,surface.tension
water,1,AI110,0.3,60,3,262.52,531.55,814,1.04,4.81,0.99872,1,7.77,774,
water,1,AI80,0.5,60,1,304.82,627.99,964.76,1.05,3.28,0.99871,1.001,7.78,769,
water,1,AI80,0.5,60,2,303.55,628.19,965.62,1.05,3.34,0.99872,1,7.81,771,
water,1,AI80,0.5,60,3,301.83,627.48,965.44,1.06,3.48,0.99872,1,7.77,774,
water,1,TADFD,0.3,60,1,311.93,612.28,930.49,1.01,2.79,0.99871,1.001,7.78,769,
water,1,TADFD,0.3,60,2,308.08,611.94,936.84,1.03,3,0.99872,1,7.81,771,
water,1,TADFD,0.3,60,3,312.31,616.84,940.12,1.02,2.87,0.99872,1,7.77,774,
water,1,TADFD,0.6,60,1,331.91,661.19,1016.09,1.03,2.35,0.99871,1.001,7.78,769,
water,1,TADFD,0.6,60,2,330.29,652.11,983.35,1,2.35,0.99872,1,7.81,771,
water,1,TADFD,0.6,60,3,328.15,644.44,972.28,1,2.35,0.99872,1,7.77,774,
water,1,TDXLD,0.3,60,1,330.89,642.09,963.54,0.99,2.09,0.99871,1.001,7.78,769,
water,1,TDXLD,0.3,60,2,329.28,642.35,966.69,0.99,2.14,0.99872,1,7.81,771,
water,1,TDXLD,0.3,60,3,329.43,646.08,973.66,1,2.22,0.99872,1,7.77,774,
water,1,TDXLD,0.4,60,1,341.88,656.31,968.51,0.95,1.95,0.99871,1.001,7.78,769,
water,1,TDXLD,0.4,60,2,345.19,662.77,975.64,0.95,1.88,0.99872,1,7.81,771,
water,1,TDXLD,0.4,60,3,344.97,662.95,975.25,0.95,1.9,0.99872,1,7.77,774,
water,1,TDXLD,0.5,60,1,372.78,708.84,1022.17,0.92,1.5,0.99871,1.001,7.78,769,
water,1,TDXLD,0.5,60,2,373.46,709.16,1027.14,0.92,1.42,0.99872,1,7.81,771,
water,1,TDXLD,0.5,60,3,372.94,705.33,1017.45,0.91,1.42,0.99872,1,7.77,774,
water,1,TDXLD,0.6,60,1,427.93,808.78,1195.94,0.95,0.86,0.99871,1.001,7.78,769,
water,1,TDXLD,0.6,60,2,426.7,813.93,1204.53,0.96,1.01,0.99872,1,7.81,771,
water,1,TDXLD,0.6,60,3,424.79,812.3,1204.61,0.96,1.02,0.99872,1,7.77,774,
water,1,ULD,0.4,60,1,299.03,577.7,876.58,1,3.02,0.99871,1.001,7.78,769,
